name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at,search_category,search_area,pincode,google_map_link,sheet_category
"Dr.TARUN’S ORTHOPAEDIC AND MULTI-SPECIALITY CLINIC | BEST MULTI-SPECIALITY CLINIC IN TARNAKA / HYDERABAD","H NO:- 12, 13-393, Street Number 1, Krishna Giri Enclave, Tarnaka, Hyderabad, Secunderabad, Telangana 500017","drtarunsorthopaedic.in","089192 96360","176","4.8","Orthopedic clinic","Closed · Opens 9am Thu","Orthopedics Hospital","Addagutta","500017","https://www.google.com/maps/search/?api=1&query=Dr.TARUN%E2%80%99S+ORTHOPAEDIC+AND+MULTI-SPECIALITY+CLINIC+%7C+BEST+MULTI-SPECIALITY+CLINIC+IN+TARNAKA+%2F+HYDERABAD+H+NO%3A-+12%2C+13-393%2C+Street+Number+1%2C+Krishna+Giri+Enclave%2C+Tarnaka%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500017","Orthopedics_Hospital"
"Baba Orthopaedic Hospital","Santosh Reddy Nagar Colony, 14-183, Santhosh Reddy Nagar Colony, New Mirjalguda, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","","040 2705 2603","26","3.1","Hospital"," · Opens 4pm Thu","Orthopedics Hospital","Addagutta","500047","https://www.google.com/maps/search/?api=1&query=Baba+Orthopaedic+Hospital+Santosh+Reddy+Nagar+Colony%2C+14-183%2C+Santhosh+Reddy+Nagar+Colony%2C+New+Mirjalguda%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Harsha Ortho Clinic Dr Seetharam Popuri","LK Hospital Ln, opposite Bharat bazaar, Maruthi Nagar, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","","094916 93563","50","5","Medical clinic"," · Opens 6:30pm Thu","Orthopedics Hospital","Addagutta","500047","https://www.google.com/maps/search/?api=1&query=Harsha+Ortho+Clinic+Dr+Seetharam+Popuri+LK+Hospital+Ln%2C+opposite+Bharat+bazaar%2C+Maruthi+Nagar%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Aachi Orthopaedic Clinic and Nursing Home","2-49/a, St No. 3, Kakateeya Nagar, Habsiguda, Hyderabad, Telangana 500007","","040 2717 3377","428","4.9","Orthopedic clinic"," · Opens 8am Thu","Orthopedics Hospital","Addagutta","500007","https://www.google.com/maps/search/?api=1&query=Aachi+Orthopaedic+Clinic+and+Nursing+Home+2-49%2Fa%2C+St+No.+3%2C+Kakateeya+Nagar%2C+Habsiguda%2C+Hyderabad%2C+Telangana+500007","Orthopedics_Hospital"
"My Health Hospitals – Orthopedic Surgeon in Tarnaka, Secunderabad","H.No:, 12, 5-30, Moula Ali Rd, South Lalaguda, Tarnaka, Secunderabad, Telangana 500017","myhealthhospitals.com","091000 01201","2","5","Orthopedic surgeon","","Orthopedics Hospital","Addagutta","500017","https://www.google.com/maps/search/?api=1&query=My+Health+Hospitals+%E2%80%93+Orthopedic+Surgeon+in+Tarnaka%2C+Secunderabad+H.No%3A%2C+12%2C+5-30%2C+Moula+Ali+Rd%2C+South+Lalaguda%2C+Tarnaka%2C+Secunderabad%2C+Telangana+500017","Orthopedics_Hospital"
"Dr. Mithin Aachi-Consult With Best Orthopaedics Doctor Near Me | Carpal Tunnel Syndrome | Cerebral Palsy | 20+ Yrs. of Exp.","Apollo Hospitals, Pollicetty Towers, St Johns Rd, beside KEYES HIGH SCHOOL FOR GIRLS, Regimental Bazaar, Shivaji Nagar, Secunderabad, Telangana 500003","apollohospitals.com","040 6907 1295","523","5","Orthopedic surgeon","Closed · Opens 10am Thu","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Dr.+Mithin+Aachi-Consult+With+Best+Orthopaedics+Doctor+Near+Me+%7C+Carpal+Tunnel+Syndrome+%7C+Cerebral+Palsy+%7C+20%2B+Yrs.+of+Exp.+Apollo+Hospitals%2C+Pollicetty+Towers%2C+St+Johns+Rd%2C+beside+KEYES+HIGH+SCHOOL+FOR+GIRLS%2C+Regimental+Bazaar%2C+Shivaji+Nagar%2C+Secunderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Baba Orthopaedics and physiotherapy Hospital","Ram Kalyan Apartments, Unnamed Road, Santhosh Reddy Nagar Colony, New Mirjalguda, Malkajgiri, Secunderabad, Telangana 500047","","092465 22603","1","5","Hospital"," · Opens 4pm Thu","Orthopedics Hospital","Addagutta","500047","https://www.google.com/maps/search/?api=1&query=Baba+Orthopaedics+and+physiotherapy+Hospital+Ram+Kalyan+Apartments%2C+Unnamed+Road%2C+Santhosh+Reddy+Nagar+Colony%2C+New+Mirjalguda%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Department of Orthopaedics || Apollo Hospitals Secunderabad","1st floor, APOLLO HOSPITAL, Pollicetty Towers, St Johns Rd, beside KEYES HIGH SCHOOL FOR GIRLS, Regimental Bazaar, Shivaji Nagar, Secunderabad, Hyderabad, Telangana 500003","apollohospitals.com","040 6907 1299","8","4.3","Orthopedic surgeon","","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Department+of+Orthopaedics+%7C%7C+Apollo+Hospitals+Secunderabad+1st+floor%2C+APOLLO+HOSPITAL%2C+Pollicetty+Towers%2C+St+Johns+Rd%2C+beside+KEYES+HIGH+SCHOOL+FOR+GIRLS%2C+Regimental+Bazaar%2C+Shivaji+Nagar%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Dr. Somasekhara Reddy N","Pollicetty Towers, St Johns Rd, beside KEYES HIGH SCHOOL FOR GIRLS, Regimental Bazaar, Shivaji Nagar, Secunderabad, Hyderabad, Telangana 500003","apollohospitals.com","040 6907 1299","33","4.4","Orthopedic surgeon","Closed · Opens 6am Thu","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Dr.+Somasekhara+Reddy+N+Pollicetty+Towers%2C+St+Johns+Rd%2C+beside+KEYES+HIGH+SCHOOL+FOR+GIRLS%2C+Regimental+Bazaar%2C+Shivaji+Nagar%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Dr Raveesh Ajmeera - Consultant Orthopedic Surgeon, Medicover Hospitals Secunderabad","Cabin No:13, Medicover Hospitals, 9, Sarojini Devi Rd, Regimental Bazaar, Shivaji Nagar, Hyderabad, Secunderabad, Telangana 500003","medicoverhospitals.in","","","","Orthopedic surgeon"," · Opens 9am Thu","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Dr+Raveesh+Ajmeera+-+Consultant+Orthopedic+Surgeon%2C+Medicover+Hospitals+Secunderabad+Cabin+No%3A13%2C+Medicover+Hospitals%2C+9%2C+Sarojini+Devi+Rd%2C+Regimental+Bazaar%2C+Shivaji+Nagar%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Avinash Orthopaedic Clinics","Besides Sri Laxmi Medicals, 9-108/5, St No. 3, Bapuji Nagar, MBD Complex, HMT Nagar, Nacharam, Hyderabad, Telangana 500076","healthplix.com","099514 61428","21","3","Doctor"," · Opens 10am Thu","Orthopedics Hospital","Addagutta","500076","https://www.google.com/maps/search/?api=1&query=Avinash+Orthopaedic+Clinics+Besides+Sri+Laxmi+Medicals%2C+9-108%2F5%2C+St+No.+3%2C+Bapuji+Nagar%2C+MBD+Complex%2C+HMT+Nagar%2C+Nacharam%2C+Hyderabad%2C+Telangana+500076","Orthopedics_Hospital"
"Dr Uday Krishna Myneni – Orthopaedic Surgeon & Joint Replacement Specialist, Medicover Hospitals, Secunderabad","9, Sarojini Devi Rd, Regimental Bazaar, Shivaji Nagar, Hyderabad, Secunderabad, Telangana 500003","medicoverhospitals.in","040 6833 4455","3","5","Orthopedic surgeon"," · Opens 9am Thu","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Dr+Uday+Krishna+Myneni+%E2%80%93+Orthopaedic+Surgeon+%26+Joint+Replacement+Specialist%2C+Medicover+Hospitals%2C+Secunderabad+9%2C+Sarojini+Devi+Rd%2C+Regimental+Bazaar%2C+Shivaji+Nagar%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Dr Ashish Varanasi orthopaedic surgeon","CHJ3+6F6, Ravindra Nagar, Nacharam, Secunderabad, Telangana 500076","","","3","5","Hospital","","Orthopedics Hospital","Addagutta","500076","https://www.google.com/maps/search/?api=1&query=Dr+Ashish+Varanasi+orthopaedic+surgeon+CHJ3%2B6F6%2C+Ravindra+Nagar%2C+Nacharam%2C+Secunderabad%2C+Telangana+500076","Orthopedics_Hospital"
"K Bansilal Orthopedic and Fracture & physio Clinic","Opp, Padmarao Nagar Main Rd, Venkatapuram Colony, MIGH Colony, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500025","","","2","5","Hospital","","Orthopedics Hospital","Addagutta","500025","https://www.google.com/maps/search/?api=1&query=K+Bansilal+Orthopedic+and+Fracture+%26+physio+Clinic+Opp%2C+Padmarao+Nagar+Main+Rd%2C+Venkatapuram+Colony%2C+MIGH+Colony%2C+Walker+Town%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500025","Orthopedics_Hospital"
"OHM NURSING HOME AND ORTHOPEDIC CLINIC","Sai Baba Temple Rd, Ravindra Nagar, Nacharam, Shiridi, Secunderabad, Telangana 500076","","","7","3.7","Hospital","","Orthopedics Hospital","Addagutta","500076","https://www.google.com/maps/search/?api=1&query=OHM+NURSING+HOME+AND+ORTHOPEDIC+CLINIC+Sai+Baba+Temple+Rd%2C+Ravindra+Nagar%2C+Nacharam%2C+Shiridi%2C+Secunderabad%2C+Telangana+500076","Orthopedics_Hospital"
"Dr. Gonchi Manjunaath Reddy/Bone & Joint centre/Orthopaedic clinic","plot 164, Rd Number 1, opposite to SHIV HOME WORLD, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072","","063053 43008","455","4.7","Orthopedic surgeon"," · Opens 10am Thu","Orthopedics Hospital","Addagutta","500072","https://www.google.com/maps/search/?api=1&query=Dr.+Gonchi+Manjunaath+Reddy%2FBone+%26+Joint+centre%2FOrthopaedic+clinic+plot+164%2C+Rd+Number+1%2C+opposite+to+SHIV+HOME+WORLD%2C+Kukatpally+Housing+Board+Colony%2C+K+P+H+B+Phase+1%2C+Kukatpally%2C+Hyderabad%2C+Telangana+500072","Orthopedics_Hospital"
"Dr. Sumit Dubewar | Best Orthopedic Surgeon in secunderabad | Joint Replacement Surgeon in Secunderabad | ACL expert Doctor","Shenoy Hospital, Entrenchment Rd, opp. playground, East Marredpally, Secunderabad, Telangana 500026","drsumitdubewar.com","093704 98182","47","5","Orthopedic surgeon"," · Opens 4pm Thu","Orthopedics Hospital","Addagutta","500026","https://www.google.com/maps/search/?api=1&query=Dr.+Sumit+Dubewar+%7C+Best+Orthopedic+Surgeon+in+secunderabad+%7C+Joint+Replacement+Surgeon+in+Secunderabad+%7C+ACL+expert+Doctor+Shenoy+Hospital%2C+Entrenchment+Rd%2C+opp.+playground%2C+East+Marredpally%2C+Secunderabad%2C+Telangana+500026","Orthopedics_Hospital"
"Nanditha Dental & Orthopaedic Care","2nd floor, 10-2-196, opp. Deccan Club, above Ibaco icecream, Nehru Nagar Colony, West Marredpally, Hyderabad, Secunderabad, Telangana 500026","","","93","5","Hospital"," · Opens 10am Thu","Orthopedics Hospital","Addagutta","500026","https://www.google.com/maps/search/?api=1&query=Nanditha+Dental+%26+Orthopaedic+Care+2nd+floor%2C+10-2-196%2C+opp.+Deccan+Club%2C+above+Ibaco+icecream%2C+Nehru+Nagar+Colony%2C+West+Marredpally%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500026","Orthopedics_Hospital"
"Prasad Hospitals","44-617/12, behind Telephone Exchange, IDA, Nacharam, Secunderabad, Telangana 500076","prasadhospitals.in","040 6824 4555","3615","4.6","General hospital","","Orthopedics Hospital","Addagutta","500076","https://www.google.com/maps/search/?api=1&query=Prasad+Hospitals+44-617%2F12%2C+behind+Telephone+Exchange%2C+IDA%2C+Nacharam%2C+Secunderabad%2C+Telangana+500076","Orthopedics_Hospital"
"PACE Hospitals","Metro Pillar Number C1775, 18, Hitech City Rd, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081","pacehospital.com","040 4848 6868","10759","4.6","General hospital","","Orthopedics Hospital","Addagutta","500081","https://www.google.com/maps/search/?api=1&query=PACE+Hospitals+Metro+Pillar+Number+C1775%2C+18%2C+Hitech+City+Rd%2C+HUDA+Techno+Enclave%2C+HITEC+City%2C+Hyderabad%2C+Telangana+500081","Orthopedics_Hospital"
"Dr. S V Chandrasekhar Reddy - Best Orthopaedic Surgeon in Hyderabad | Apollo Hospitals","St. John's road, Landmark: Adjacent to Keyes High School, TS India, Apollo Hospitals Secunderabad, Hyderabad, Telangana 500003","apollohospitals.com","080 6904 9769","19","4.7","Orthopedic surgeon"," · Opens 9am Thu","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Dr.+S+V+Chandrasekhar+Reddy+-+Best+Orthopaedic+Surgeon+in+Hyderabad+%7C+Apollo+Hospitals+St.+John%27s+road%2C+Landmark%3A+Adjacent+to+Keyes+High+School%2C+TS+India%2C+Apollo+Hospitals+Secunderabad%2C+Hyderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Dr.M.V Sushanth | Orthopaedic & Arthroscopy Surgeon","Kasturi Hospital st. John's Road, 10-3-167/A, opp. Wesley Girls Junior College, Railway Colony, Chilakalguda, Secunderabad, Hyderabad, Telangana 500003","kasturihospitals.com","072073 75534","400","4.9","Orthopedic surgeon","","Orthopedics Hospital","Addagutta","500003","https://www.google.com/maps/search/?api=1&query=Dr.M.V+Sushanth+%7C+Orthopaedic+%26+Arthroscopy+Surgeon+Kasturi+Hospital+st.+John%27s+Road%2C+10-3-167%2FA%2C+opp.+Wesley+Girls+Junior+College%2C+Railway+Colony%2C+Chilakalguda%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500003","Orthopedics_Hospital"
"PURE ORTHO HOSPITALS","Pure ortho Hospital, KTM showroom, Besides Subway &, Sainikpuri, Hyderabad, Telangana 500094","pureorthohospitals.in","099515 15151","287","4.6","Hospital","","Orthopedics Hospital","Addagutta","500094","https://www.google.com/maps/search/?api=1&query=PURE+ORTHO+HOSPITALS+Pure+ortho+Hospital%2C+KTM+showroom%2C+Besides+Subway+%26%2C+Sainikpuri%2C+Hyderabad%2C+Telangana+500094","Orthopedics_Hospital"
"ARC Orthopaedic Hospital","1-7-181, ECIL Post, ARC Road, South Kamala Nagar, Kamalanagar, Moula Ali, Hyderabad, Secunderabad, Telangana 500062","","094904 86897","346","4.5","Hospital","","Orthopedics Hospital","Addagutta","500062","https://www.google.com/maps/search/?api=1&query=ARC+Orthopaedic+Hospital+1-7-181%2C+ECIL+Post%2C+ARC+Road%2C+South+Kamala+Nagar%2C+Kamalanagar%2C+Moula+Ali%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500062","Orthopedics_Hospital"
"Dr Bansilal orthopaedics clinic","1-132, beside Park, Swatantra Colony, Padmarao Nagar, Hyderabad, Secunderabad, Telangana 500020","","","","","Hospital","","Orthopedics Hospital","Addagutta","500020","https://www.google.com/maps/search/?api=1&query=Dr+Bansilal+orthopaedics+clinic+1-132%2C+beside+Park%2C+Swatantra+Colony%2C+Padmarao+Nagar%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500020","Orthopedics_Hospital"
"Dr Vamshi Kiran Badam | Best Orthopedic Surgeon | Orthopedic Clinic","H.No#1-5-9/1, Plot#1, Street#8, GreenHills Colony, Habsiguda, Hyderabad, Telangana 500007","","092967 59200","4","5","Orthopedic surgeon"," · Opens 4:30pm Thu","Orthopedics Hospital","Addagutta","500007","https://www.google.com/maps/search/?api=1&query=Dr+Vamshi+Kiran+Badam+%7C+Best+Orthopedic+Surgeon+%7C+Orthopedic+Clinic+H.No%231-5-9%2F1%2C+Plot%231%2C+Street%238%2C+GreenHills+Colony%2C+Habsiguda%2C+Hyderabad%2C+Telangana+500007","Orthopedics_Hospital"
"My Health Hospitals | Best Hospital in Kukatpally Hyderabad","H.No 15-24-212, MIG-212, Rd Number 1, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072","myhealthhospitals.com","091116 74111","2903","4.8","Hospital","","Orthopedics Hospital","Addagutta","500072","https://www.google.com/maps/search/?api=1&query=My+Health+Hospitals+%7C+Best+Hospital+in+Kukatpally+Hyderabad+H.No+15-24-212%2C+MIG-212%2C+Rd+Number+1%2C+K+P+H+B+Phase+1%2C+Kukatpally%2C+Hyderabad%2C+Telangana+500072","Orthopedics_Hospital"
"Dr. G.Harinath Rao","6-1-128/1, Walker Town, Opposite, Andhra Bank Ln, Padmarao Nagar, Secunderabad, Telangana 500020","","040 2750 3304","37","4.4","Orthopedic clinic"," · Opens 9am Thu","Orthopedics Hospital","Addagutta","500020","https://www.google.com/maps/search/?api=1&query=Dr.+G.Harinath+Rao+6-1-128%2F1%2C+Walker+Town%2C+Opposite%2C+Andhra+Bank+Ln%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500020","Orthopedics_Hospital"
"Dr Chaitanya's Bone & Pain Clinic","Safilguda Railway Station Rd, next to Vijaya Diagnostics, Balram Nagar, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","","094943 69394","198","4.9","Orthopedic clinic"," · Opens 6pm Thu","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=Dr+Chaitanya%27s+Bone+%26+Pain+Clinic+Safilguda+Railway+Station+Rd%2C+next+to+Vijaya+Diagnostics%2C+Balram+Nagar%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"LK HOSPITAL | Malkajgiri | Best Hospital in Secunderabad","4-159 & 4-172, Maruthi Nagar, Malkajgiri, Secunderabad, Telangana 500047","lkhospital.com","090597 72200","1017","4.4","Hospital","","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=LK+HOSPITAL+%7C+Malkajgiri+%7C+Best+Hospital+in+Secunderabad+4-159+%26+4-172%2C+Maruthi+Nagar%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"ADR Hospitals - Best Multispeciality Hospital in Malkajgiri | Hyderabad","112, 15/A/24, 1, E Anandbagh Main Rd, Malkajgiri, Hyderabad, Telangana 500047","adrhospitals.com","076590 47155","593","4.2","Hospital","","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=ADR+Hospitals+-+Best+Multispeciality+Hospital+in+Malkajgiri+%7C+Hyderabad+112%2C+15%2FA%2F24%2C+1%2C+E+Anandbagh+Main+Rd%2C+Malkajgiri%2C+Hyderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Sai Prashanthi Maternity & Ortho Clinic","Sneha Arcade, RK Nagar Colony, Malkajgiri, Secunderabad, Telangana 500047","","040 2724 3333","21","3.7","Maternity Centre"," · Opens 6pm Thu","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=Sai+Prashanthi+Maternity+%26+Ortho+Clinic+Sneha+Arcade%2C+RK+Nagar+Colony%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Siddha Spine Healthcare","first left first, left house, 2-220, Street Number 3, Vani Nagar, Malkajgiri, Secunderabad, Telangana 500047","","096528 64356","92","5","Ayurvedic clinic"," · Opens 10am Thu","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=Siddha+Spine+Healthcare+first+left+first%2C+left+house%2C+2-220%2C+Street+Number+3%2C+Vani+Nagar%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Kasthuri Orthopedic & Fracture Clinic","Safilguda Cross Rd, near Anand Bagh, Surya nagar, RK Nagar Colony, Chourastha, Secunderabad, Telangana 500047","","040 2783 0534","4","3.8","Medical clinic"," · Opens 7:30pm Thu","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=Kasthuri+Orthopedic+%26+Fracture+Clinic+Safilguda+Cross+Rd%2C+near+Anand+Bagh%2C+Surya+nagar%2C+RK+Nagar+Colony%2C+Chourastha%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"A1 Care Hospital- pulmonology, orthopedics and best multi speciality services 24x7 Emergency","bharti enclave, Near, kalwan 4, Vinayak Nagar, Kalwan Bharti Enclave, Safilguda, Malkajgiri, Secunderabad, Telangana 500056","a1carehospital.in","095811 12511","367","4.8","Hospital","","Orthopedics Hospital","Goutham Nagar","500056","https://www.google.com/maps/search/?api=1&query=A1+Care+Hospital-+pulmonology%2C+orthopedics+and+best+multi+speciality+services+24x7+Emergency+bharti+enclave%2C+Near%2C+kalwan+4%2C+Vinayak+Nagar%2C+Kalwan+Bharti+Enclave%2C+Safilguda%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500056","Orthopedics_Hospital"
"Dr Kollam Chandra Ortho Clinic","Abhiridh Specialty Clinic, AOC Main Rd, Wellington Rd, opposite Gandhian School, West Marredpally, Secunderabad, Telangana 500026","","097050 80365","23","3.3","Orthopedic clinic"," · Closes 1pm Thu","Orthopedics Hospital","Goutham Nagar","500026","https://www.google.com/maps/search/?api=1&query=Dr+Kollam+Chandra+Ortho+Clinic+Abhiridh+Specialty+Clinic%2C+AOC+Main+Rd%2C+Wellington+Rd%2C+opposite+Gandhian+School%2C+West+Marredpally%2C+Secunderabad%2C+Telangana+500026","Orthopedics_Hospital"
"Dr. Madhu Sudhan Clinic","FG2P+85Q, Malkajgiri Rd, Geetha Nagar, Malkajgiri, Secunderabad, Telangana 500047","","093463 81726","3","2.3","Medical clinic","","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=Dr.+Madhu+Sudhan+Clinic+FG2P%2B85Q%2C+Malkajgiri+Rd%2C+Geetha+Nagar%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Vindhya Healthcare Speciality Clinics","13-94 & 95, beside Jagruthi Degree College, Sanjay Nagar, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","","091608 54747","34","4.9","Medical clinic"," · Opens 9am Thu","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=Vindhya+Healthcare+Speciality+Clinics+13-94+%26+95%2C+beside+Jagruthi+Degree+College%2C+Sanjay+Nagar%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"AKSHARA ORTHOPAEDIC CENTRE","Chiranjeevi Apartments, beside Apollo Pharmacy, Boosa Reddy Guda, Block-I, West Marredpally, Secunderabad, Telangana 500026","aksharaorthopaedic.com","040 4877 0613","63","4.3","Orthopedic clinic"," · Opens 11:30am Thu","Orthopedics Hospital","Goutham Nagar","500026","https://www.google.com/maps/search/?api=1&query=AKSHARA+ORTHOPAEDIC+CENTRE+Chiranjeevi+Apartments%2C+beside+Apollo+Pharmacy%2C+Boosa+Reddy+Guda%2C+Block-I%2C+West+Marredpally%2C+Secunderabad%2C+Telangana+500026","Orthopedics_Hospital"
"Mithra Speciality Clinic - West Marredpally, Dr. Saikiran - Advanced Orthopaedics & Dr. Moulika - Child Health Pediatrician","plot no 67, Street No. 6, opp. jama masjid, Aswini Colony, West Marredpally, Secunderabad, Telangana 500026","","083091 12265","30","5","Orthopedic clinic"," · Opens 10am Thu","Orthopedics Hospital","Goutham Nagar","500026","https://www.google.com/maps/search/?api=1&query=Mithra+Speciality+Clinic+-+West+Marredpally%2C+Dr.+Saikiran+-+Advanced+Orthopaedics+%26+Dr.+Moulika+-+Child+Health+Pediatrician+plot+no+67%2C+Street+No.+6%2C+opp.+jama+masjid%2C+Aswini+Colony%2C+West+Marredpally%2C+Secunderabad%2C+Telangana+500026","Orthopedics_Hospital"
"SRL Physiotherapy Pain Relief Clinic","24-60, 2nd St, beside Swagath Grand Hotel, behind KFC Building, Vishnupuri Colony, Sivapuri Colony, Malkajgiri, Secunderabad, Telangana 500047","srlfoundation.com","094400 63941","490","5","Physiotherapy Center"," · Opens 9:30am Thu","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=SRL+Physiotherapy+Pain+Relief+Clinic+24-60%2C+2nd+St%2C+beside+Swagath+Grand+Hotel%2C+behind+KFC+Building%2C+Vishnupuri+Colony%2C+Sivapuri+Colony%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Suryatej Hospital","H.NO : 7, 60/11, Police Station Road, Sri Krishna Sai Colony, Durga Nagar, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","","040 4891 4455","24","4.6","Hospital","","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=Suryatej+Hospital+H.NO+%3A+7%2C+60%2F11%2C+Police+Station+Road%2C+Sri+Krishna+Sai+Colony%2C+Durga+Nagar%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Malkajgiri Area hospital","FG2M+CJJ, Geetha Nagar, Malkajgiri, Secunderabad, Telangana 500047","","092465 43662","21","4","Hospital","","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=Malkajgiri+Area+hospital+FG2M%2BCJJ%2C+Geetha+Nagar%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Siddha Kerala Panchakarmma Center, Anandbagh","24-116, Street Number 9, near ADR Hospital, Vishnupuri Colony, Anandbagh, Malkajgiri, Secunderabad, Telangana 500047","siddhakeralapanchakarmmacenter.com","099122 83904","29","4.9","Hospital"," · Opens 7am Thu","Orthopedics Hospital","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=Siddha+Kerala+Panchakarmma+Center%2C+Anandbagh+24-116%2C+Street+Number+9%2C+near+ADR+Hospital%2C+Vishnupuri+Colony%2C+Anandbagh%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Orthopedics_Hospital"
"Orthopaedic in patient ward","MORTUARY BLOCK, M.I.G.H colony, Aruna Colony, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500003","","","","","Hospital department","","Orthopedics Hospital","Padmarao Nagar","500003","https://www.google.com/maps/search/?api=1&query=Orthopaedic+in+patient+ward+MORTUARY+BLOCK%2C+M.I.G.H+colony%2C+Aruna+Colony%2C+Walker+Town%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Dr Harinath G, Orthopedic","6-1-128/1/2, Bapuji Nagar, MIGH Colony, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500020","","","7","4.3","Doctor"," · Opens 9am Thu","Orthopedics Hospital","Padmarao Nagar","500020","https://www.google.com/maps/search/?api=1&query=Dr+Harinath+G%2C+Orthopedic+6-1-128%2F1%2F2%2C+Bapuji+Nagar%2C+MIGH+Colony%2C+Walker+Town%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500020","Orthopedics_Hospital"
