name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at,search_category,search_area,pincode,google_map_link,sheet_category
"Gaama Physio and Rehab Care","H.No. 6, Pillar No. B1300, beside Lakshmi Apartments, near NTR Statue, 1-1/4D, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500020","","","6","5","Physiotherapist"," · Opens 9am","Physiotherapy","Padmarao Nagar","500020","https://www.google.com/maps/search/?api=1&query=Gaama+Physio+and+Rehab+Care+H.No.+6%2C+Pillar+No.+B1300%2C+beside+Lakshmi+Apartments%2C+near+NTR+Statue%2C+1-1%2F4D%2C+Walker+Town%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500020","Physiotherapy"
"Chiropractic & Osteopathy Physiotherapy Clinic","CGF5+3GX, Madhuri nagar, Warasiguda, Padmarao Nagar, Secunderabad, Telangana 500020","","","","","Physiotherapy Center","","Physiotherapy","Padmarao Nagar","500020","https://www.google.com/maps/search/?api=1&query=Chiropractic+%26+Osteopathy+Physiotherapy+Clinic+CGF5%2B3GX%2C+Madhuri+nagar%2C+Warasiguda%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500020","Physiotherapy"
"Fem Physio","First floor, Anusri Hospitals 6, 1-275, near Enjoy Bakery, Walker Town, Padmarao Nagar, Secunderabad, Hyderabad, Telangana 500020","","","1","5","Physiotherapy Center","","Physiotherapy","Padmarao Nagar","500020","https://www.google.com/maps/search/?api=1&query=Fem+Physio+First+floor%2C+Anusri+Hospitals+6%2C+1-275%2C+near+Enjoy+Bakery%2C+Walker+Town%2C+Padmarao+Nagar%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500020","Physiotherapy"
"PHYSIOTHERAPY HOME CARE SERVICES","CGG7+7W8, Namalagundu, Padmarao Nagar, Hyderabad, Secunderabad, Telangana 500061","","","3","5","Physiotherapist","","Physiotherapy","Padmarao Nagar","500061","https://www.google.com/maps/search/?api=1&query=PHYSIOTHERAPY+HOME+CARE+SERVICES+CGG7%2B7W8%2C+Namalagundu%2C+Padmarao+Nagar%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500061","Physiotherapy"
"Tejaswi physiotherapy","Madhuri nagar, Warasiguda, Padmarao Nagar, Hyderabad, Secunderabad, Telangana 500061","","094949 62706","2","5","Hospital"," · Opens 8am","Physiotherapy","Padmarao Nagar","500061","https://www.google.com/maps/search/?api=1&query=Tejaswi+physiotherapy+Madhuri+nagar%2C+Warasiguda%2C+Padmarao+Nagar%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500061","Physiotherapy"
"PHYSIO PLUS","174, 1st Cross Rd, RK Nagar Colony, Malkajgiri, Secunderabad, Telangana 500047","","","","","Physiotherapist","","Physiotherapy","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=PHYSIO+PLUS+174%2C+1st+Cross+Rd%2C+RK+Nagar+Colony%2C+Malkajgiri%2C+Secunderabad%2C+Telangana+500047","Physiotherapy"
"Dr.Akhila","1-29/6, near icici bank, Sanjay Nagar, Malkajgiri, Hyderabad, Secunderabad, Telangana 500047","","","3","5","Physiotherapist"," · Opens 7am","Physiotherapy","Goutham Nagar","500047","https://www.google.com/maps/search/?api=1&query=Dr.Akhila+1-29%2F6%2C+near+icici+bank%2C+Sanjay+Nagar%2C+Malkajgiri%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500047","Physiotherapy"
"One Stop Physio _ Dr.Geetha","Flat 301, 1-115, Sri Dwaraka Residency, Manjeera Pipeline Rd, Vinayaka Nagar, Hafeezpet, Hyderabad, Telangana 500049","","079817 16580","20","5","Physiotherapist"," · Opens 10am","Physiotherapy","Hafeezpet","500049","https://www.google.com/maps/search/?api=1&query=One+Stop+Physio+_+Dr.Geetha+Flat+301%2C+1-115%2C+Sri+Dwaraka+Residency%2C+Manjeera+Pipeline+Rd%2C+Vinayaka+Nagar%2C+Hafeezpet%2C+Hyderabad%2C+Telangana+500049","Physiotherapy"
"Panacea Physiotherapy& Fitness Clinic","3rd floor, commercial complex, SMR VINAY FOUNTAINHEAD, Near, Calvary Temple Rd, Hafeezpet, Hyderabad, Telangana 500049","","098496 70575","33","4.9","Physiotherapy Center"," · Opens 9:30am","Physiotherapy","Hafeezpet","500049","https://www.google.com/maps/search/?api=1&query=Panacea+Physiotherapy%26+Fitness+Clinic+3rd+floor%2C+commercial+complex%2C+SMR+VINAY+FOUNTAINHEAD%2C+Near%2C+Calvary+Temple+Rd%2C+Hafeezpet%2C+Hyderabad%2C+Telangana+500049","Physiotherapy"
"Dr.Aarti Physiotherapy and Natural Birthing Care","Pranaam hospitals, Ramakrishna Nagar, Hafeezpet, Madeenaguda, Hyderabad, Telangana 500049","draarti.com","081067 66066","99","5","Physiotherapist"," · Opens 9am","Physiotherapy","Hafeezpet","500049","https://www.google.com/maps/search/?api=1&query=Dr.Aarti+Physiotherapy+and+Natural+Birthing+Care+Pranaam+hospitals%2C+Ramakrishna+Nagar%2C+Hafeezpet%2C+Madeenaguda%2C+Hyderabad%2C+Telangana+500049","Physiotherapy"
